Month,L27,L28,L29,L30,L31,L32,L33,L34
08/01/2018 03:00,0.373292265,0.12837084,1.00465905,2.164282892,2.122734952,2.30147312,0.300457805,1.372788434
08/01/2018 04:00,0.443154445,0.066454915,0.67149606,1.505946389,1.256331113,2.839291704,0.394384585,0.320423186
08/01/2018 05:00,0.538312448,0.443708631,1.040400288,1.758016171,3.444040711,3.935194648,1.154406422,0.1488537
08/01/2018 06:00,0.616431063,0.400516259,1.342169946,1.030412762,3.718921199,3.252007022,0.970655074,0.559940441
08/01/2018 07:00,0.559352806,0.403337609,1.449642207,1.471483319,3.579976623,2.812185013,0.210444519,0.518480188
08/01/2018 08:00,0.527171552,0.282890434,1.701225532,0.669082765,2.371828167,2.891578303,0.173653043,0.309948417
08/01/2018 09:00,0.500017922,0.611654147,2.868490845,0.803682124,2.641605199,3.493731025,0.111776283,0.20876974
08/01/2018 10:00,0.496830572,0.510449471,2.677613083,1.142815459,2.371577731,3.805553447,0.350363975,0.063095041
08/01/2018 11:00,0.535803648,0.613994523,1.848333094,0.840994218,2.998488722,3.756529056,0.189803181,0.758998601
08/01/2018 12:00,0.502147422,0.765712874,1.599158691,0.48449892,3.811314896,4.317034162,0.155423542,1.335163995
08/01/2018 13:00,0.606184905,0.963538386,1.795419721,0.948150834,3.771429709,3.74202605,0.176183245,0.11883436
08/01/2018 14:00,0.237315913,0.841151053,1.19628315,0.292166595,3.280847087,3.233525472,0.147824225,0.164312814
08/01/2018 15:00,0.492207934,1.16798302,1.218571587,1.229480031,3.465657276,4.557521197,0.237931916,0.193538206
08/01/2018 16:00,0.549775046,0.930565627,1.265273954,0.833090909,3.209853765,3.714333236,0.340425047,0.072558444
08/01/2018 17:00,1.415045576,1.428957382,1.336103739,1.912387676,3.088321929,3.712071487,0.165638297,0.244285662
08/01/2018 18:00,0.83172423,0.991737357,1.088930209,1.387670611,3.559653682,4.545868586,0.555251762,0.071821952
08/01/2018 19:00,0.716087585,1.008096348,1.141939,1.903044076,3.543580776,3.881031292,0.762726698,0.193528532
08/01/2018 20:00,0.624278674,1.132693486,1.260956496,0.722140595,2.914968417,4.412682066,0.64480072,0.200426372
08/01/2018 21:00,0.627200384,1.157017197,1.198321886,0.708642377,2.952655608,3.992796516,0.540086619,0.107316004
08/01/2018 22:00,0.392476239,1.219117482,0.970350745,0.460036597,3.525029164,3.505782065,0.532591789,0.092490813
08/01/2018 23:00,0.470688879,1.034720534,0.694098214,0.65563149,2.959087062,2.3553152,0.63856749,0.053792019
09/01/2018 00:00,1.155032991,1.613018357,0.181013116,2.071495826,2.635383025,2.348056494,0.535726806,0.026390916
09/01/2018 01:00,0.619645537,0.872238156,0.76213992,1.405834819,4.435171963,2.929753908,0.66188669,0.784789835
09/01/2018 02:00,0.680328515,0.761026138,0.569227694,0.525521967,3.859502134,2.708748376,0.500076634,0.452529942
09/01/2018 03:00,0.693537329,0.25032751,0.379657487,0.71260234,4.047107369,3.651850519,0.415480721,0.101935205
09/01/2018 04:00,0.708077922,0.293208047,0.510185383,1.364470537,5.058204778,3.095962244,0.459650295,1.008881823
09/01/2018 05:00,0.624618699,0.241163202,0.370142506,3.241696061,3.905916123,2.980645616,0.348728218,0.274069296
09/01/2018 06:00,0.489700833,0.289180511,0.457856767,2.735675827,4.150246823,2.999915523,0.519877188,0.377259596
09/01/2018 07:00,0.342899496,0.405107639,0.60515707,2.206030415,2.944285058,2.537767621,0.318741588,0.079628658
09/01/2018 08:00,0.583085136,0.398675824,0.53047891,2.86386447,2.284192873,3.091303463,0.526238864,0.042309433
09/01/2018 09:00,0.492939544,0.307633172,0.625666777,3.678573557,3.066360275,4.395593525,0.943273922,0.065953396
09/01/2018 10:00,0.811320959,0.272293001,0.404497112,1.316724647,2.138310894,4.291044409,0.88315517,0.117109359
09/01/2018 11:00,0.892259077,0.382087632,0.449802481,1.246738566,2.450682037,4.196785817,0.904099375,0.241747394
09/01/2018 12:00,0.876718529,0.372559818,0.551745643,0.770354869,2.298963041,5.043400016,0.813032938,0.102055691
09/01/2018 13:00,1.039218285,0.770674951,0.77293163,1.812348122,3.114321305,3.697273742,0.825296185,0.047426947
09/01/2018 14:00,1.00283619,0.410131614,0.550593358,0.909829827,2.883455455,3.215731078,0.653630386,0.323135293
09/01/2018 15:00,1.007594987,0.466296505,0.646891282,1.148295154,2.769762276,3.44418359,0.450141526,0.588212444
09/01/2018 16:00,0.947965813,0.471286745,0.795842421,1.095389716,2.790511422,3.579006672,0.522586791,0.476637566
09/01/2018 17:00,0.975696764,0.403501758,0.81516906,1.244105338,3.39718235,4.724871207,0.501599745,0.181101293
09/01/2018 18:00,0.918254881,0.461863765,0.706533169,1.323757203,3.342136797,4.734111252,0.649697422,0.66289313
09/01/2018 19:00,0.97963717,0.459577541,0.847461112,0.750352684,3.319181287,3.848310229,0.44059231,0.644993332
09/01/2018 20:00,0.934233683,0.510470248,0.805509428,0.540089487,3.46244263,5.302101062,0.170627595,0.218758016
09/01/2018 21:00,1.014989633,0.935554984,0.655951346,0.557642554,4.142975674,5.413060825,0.406925633,0.912580436
09/01/2018 22:00,1.021286814,1.398349777,0.96195971,0.667787064,3.83562584,5.941303217,0.10737447,0.205428941
09/01/2018 23:00,0.774278622,0.759004171,0.792191395,0.574761985,3.812459246,6.428065725,0.251899479,0.143834413
10/01/2018 00:00,0.836878847,0.752347562,1.077788361,0.573923792,3.216097817,6.213325638,0.17301811,0.093443674
10/01/2018 01:00,0.733726399,1.496637685,0.699227466,0.721532723,4.809395397,6.345058647,0.258450012,0.177836526
10/01/2018 02:00,1.138701546,0.514703742,0.760738197,1.051067333,4.531039965,5.167617782,0.278486643,0.528995186
10/01/2018 03:00,1.124351138,0.480282557,0.753610812,2.22416687,3.226912098,6.498951398,0.214721353,0.121046151
10/01/2018 04:00,0.938169647,0.515293366,0.898283707,2.710809228,2.489185475,6.011909817,0.123289014,0.132933694
10/01/2018 05:00,0.7596809,0.772943496,0.607519637,4.474365464,2.916720691,5.282022589,0.212235165,0.558137445
10/01/2018 06:00,0.760093464,0.726021345,0.286355855,4.182052846,3.714536475,6.163384171,0.240152678,1.140614973
10/01/2018 07:00,0.731810602,0.537880001,0.304736769,4.056288811,2.757012936,6.144387221,0.321617888,0.595775336
10/01/2018 08:00,0.824419979,1.116162709,0.47502402,4.390265749,3.474695503,3.499254004,0.158132966,1.15313966
10/01/2018 09:00,0.73456789,0.701268974,0.513377476,3.819378973,3.17246664,3.991750006,0.615348493,0.102465351
10/01/2018 10:00,0.74982704,0.733621928,0.45934713,3.681869669,2.837254375,4.23719683,0.707149082,0.496277623
10/01/2018 11:00,0.661957633,0.894233299,0.337996564,3.362543342,2.876737483,3.819765222,0.61128907,0.488930527
10/01/2018 12:00,0.605474199,1.025973403,0.190694724,1.596629122,3.664679956,3.835986202,0.649169198,0.269191922
10/01/2018 13:00,0.347951732,0.775007099,0.100866134,0.270697962,4.783186165,3.996009495,0.722418399,0.10809068
10/01/2018 14:00,0.556793513,1.004094147,0.327849768,2.712214705,5.718590071,4.144623067,0.698899366,0.693471946
10/01/2018 15:00,0.365044813,0.628301926,0.530607885,0.133243665,3.97652045,5.05080013,0.644347634,0.185379394
10/01/2018 16:00,0.649473085,0.692760452,1.220433994,0.145657772,3.041181561,3.139260529,0.788533635,0.125900216
10/01/2018 17:00,0.709080421,0.54421467,0.964924418,0.16711604,3.223542821,3.279468136,0.939166067,0.220948871
10/01/2018 18:00,0.693657883,0.533100322,0.956226465,0.164136622,3.560991311,4.12258223,0.979328994,0.541715252
10/01/2018 19:00,0.728630809,0.547725325,1.065657636,0.24515664,2.736426038,3.435306731,0.829419856,0.15727339
10/01/2018 20:00,0.820446095,0.527484306,1.217903192,0.149685302,2.92203391,3.547104524,1.014605751,0.474796329
10/01/2018 21:00,0.909325783,0.42931627,1.201310411,0.157848364,2.878802537,3.874653825,1.155141958,0.176604253
10/01/2018 22:00,0.750144551,0.385757968,1.074151853,0.119397206,3.050376838,3.293181125,0.947012339,0.125793972
10/01/2018 23:00,0.581528351,0.543816101,1.907558278,0.476748155,3.197393386,4.219471992,1.11515263,0.143750406
11/01/2018 00:00,0.594762219,0.467890502,0.998127662,0.279848813,3.164105068,5.40255992,0.614941417,0.152603343
11/01/2018 01:00,0.607619222,0.361094294,1.263745455,0.552737896,3.664898419,5.554961655,0.825349285,0.600533216
11/01/2018 02:00,0.551257214,0.267559824,2.013963511,0.125134682,3.85242335,3.498023106,0.732090437,0.111268893
