Month,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
06/01/2018 02:00,0.968309557,2.107114471,3.82342E-07,3.83921E-07,2.983377313,2.812398246,0.008506765,0.016623001,0.298337864,0.127490515,0.538418769,0.491030375
06/01/2018 03:00,1.197749998,1.394063038,3.83847E-07,3.8399E-07,3.683664134,2.386836691,0.004385707,0.01584799,0.072584308,0.198640193,0.472531144,0.583821017
06/01/2018 04:00,1.388173317,1.081124374,3.84005E-07,3.84821E-07,3.611747602,3.452716382,0.006084695,0.014577426,0.079633627,0.202663232,0.326564042,0.673199532
06/01/2018 05:00,1.36568077,2.482767429,3.82616E-07,3.83736E-07,4.116747382,4.336002278,0.013663759,0.011952131,0.068295475,0.081490979,0.348213324,0.507906838
06/01/2018 06:00,1.360736388,2.780460977,3.82629E-07,3.84552E-07,4.08171315,2.688805961,0.012347786,0.012419045,0.064199922,0.15426463,0.354928349,0.449752294
06/01/2018 07:00,1.386194741,1.758775746,3.82376E-07,3.84387E-07,3.985841124,2.202527725,0.009864377,0.015801832,0.101247413,0.438047057,0.365724226,0.418975917
06/01/2018 08:00,2.280863529,1.742205427,3.82886E-07,3.84589E-07,3.846468506,2.275863772,0.007650058,0.011204625,0.092036345,0.164868504,0.376589313,0.297717111
06/01/2018 09:00,1.024402101,2.239352725,3.82872E-07,3.8538E-07,3.947379916,2.906213119,0.005617458,0.016682489,0.086986424,0.170551578,0.359399169,0.327840584
06/01/2018 10:00,0.778033418,2.030325895,3.8254E-07,3.84642E-07,3.232294667,2.790731384,0.005084603,0.010407811,0.12390376,0.217488722,0.305353992,0.381423981
06/01/2018 11:00,0.69226947,1.575321507,3.82828E-07,3.84612E-07,3.086004591,2.534265475,0.011808029,0.011092537,0.079694024,0.116348223,0.271128002,0.30498159
06/01/2018 12:00,1.000051736,2.185490144,3.84295E-07,3.85467E-07,2.583496088,2.961327902,0.005643715,0.010166255,0.159430797,0.119905372,0.286936546,0.268804794
06/01/2018 13:00,0.729227855,1.711903538,3.82337E-07,3.84998E-07,2.445556517,3.88385933,0.006802743,0.011510278,0.079899275,0.100745753,0.23857328,0.201062421
06/01/2018 14:00,0.824971447,1.662842375,3.826E-07,3.8318E-07,2.805157862,4.96859954,0.006346969,0.011694419,0.110574144,0.103044134,0.185227558,0.178974998
06/01/2018 15:00,0.750104489,1.655701745,3.83159E-07,3.85398E-07,2.997574567,4.425302012,0.004582288,0.016371493,0.084356575,0.107697353,0.154023198,0.235534676
06/01/2018 16:00,0.66855656,3.348510229,3.82292E-07,3.84007E-07,3.011455602,4.069048377,0.00729561,0.01383465,0.057239425,0.192722468,0.206727934,0.232590058
06/01/2018 17:00,0.934008245,2.259417715,3.82224E-07,3.84902E-07,2.767083769,3.928363347,0.003803434,0.02980312,0.086384007,0.087594399,0.267932783,0.222797872
06/01/2018 18:00,1.169306772,1.348354744,3.82912E-07,3.842E-07,2.293417004,2.895700167,0.005398953,0.012660469,0.091618722,0.141085478,0.305570156,0.251195707
06/01/2018 19:00,0.895841217,1.069177363,3.82407E-07,3.82542E-07,1.617584053,4.369611724,0.008924729,0.0142254,0.099242961,0.170232772,0.350676058,0.229952365
06/01/2018 20:00,1.82110693,2.075474553,3.83072E-07,3.83582E-07,2.42418155,3.10957828,0.010721001,0.019203297,0.058247724,0.144997274,0.291739724,0.243974804
06/01/2018 21:00,1.438202427,2.579304349,3.83146E-07,3.84643E-07,2.283485959,4.175456882,0.007153553,0.020060507,0.067539917,0.106112475,0.294066303,0.238498327
06/01/2018 22:00,1.185765201,1.760238848,3.82986E-07,3.8432E-07,2.010286781,3.048962771,0.005099811,0.019097478,0.053508077,0.086524832,0.284946604,0.181455387
06/01/2018 23:00,1.389337872,2.069646006,3.83344E-07,3.86981E-07,1.798917918,5.136212851,0.00405972,0.026695338,0.036508723,0.081779083,0.259561951,0.188879346
07/01/2018 00:00,1.318563926,1.86888226,3.82729E-07,3.84259E-07,2.307359358,5.48871103,0.005538248,0.017910524,0.096059402,0.095715018,0.236032681,0.193002414
07/01/2018 01:00,1.498478209,1.660278607,3.82196E-07,3.82954E-07,2.428932116,2.710493326,0.003825785,0.015045311,0.115333932,0.160643012,0.225555827,0.190057793
07/01/2018 02:00,1.281814245,2.12549505,3.83898E-07,3.85528E-07,2.279488145,3.441173704,0.012651199,0.017960415,0.091606041,0.097257239,0.258157548,0.182924753
07/01/2018 03:00,1.055938142,2.017053912,3.82683E-07,3.83412E-07,1.824940889,2.903833624,0.004739624,0.018049394,0.087316785,0.143963553,0.265219949,0.20397672
07/01/2018 04:00,0.84149809,2.630634616,3.8341E-07,3.83353E-07,1.716821213,2.831140918,0.009601361,0.015851909,0.102501428,0.077928308,0.330784202,0.234632581
07/01/2018 05:00,0.732578373,1.959462968,3.8321E-07,3.84465E-07,1.663296211,3.250586673,0.004335394,0.021184854,0.123202884,0.082196195,0.368035381,0.212238237
07/01/2018 06:00,0.672279268,3.788402868,3.8342E-07,3.8461E-07,1.482183757,3.229260552,0.004073525,0.02744884,0.123536999,0.356744048,0.348180568,0.251567082
07/01/2018 07:00,0.734323925,2.430930214,3.82825E-07,3.83801E-07,1.499864331,3.140030914,0.004137381,0.011824944,0.07651883,0.167461241,0.26144236,0.160186368
07/01/2018 08:00,1.130496278,1.181106141,3.83648E-07,3.83327E-07,1.772520242,2.813685933,0.010289399,0.013331232,0.046942719,0.078260665,0.260129549,0.148862801
07/01/2018 09:00,0.736496705,3.338962799,3.84356E-07,3.84098E-07,1.205126495,3.867736645,0.003362285,0.012510502,0.103771558,0.101101246,0.257270443,0.176472035
07/01/2018 10:00,0.805317471,2.526447306,3.82018E-07,3.83272E-07,1.5053665,4.354821893,0.008770199,0.017929684,0.197718824,0.198092668,0.508394108,0.180369382
07/01/2018 11:00,0.857457333,1.875371455,3.82286E-07,3.84429E-07,1.739634942,3.328200834,0.004409977,0.017460444,0.100825689,0.132838386,0.513510413,0.164615393
07/01/2018 12:00,1.121682825,1.48289055,3.82194E-07,3.84224E-07,1.802068622,2.372118098,0.003469148,0.02365506,0.102421159,0.182264279,0.488176529,0.113622358
07/01/2018 13:00,0.996674507,1.785422551,3.83463E-07,3.84868E-07,1.642578492,2.684834302,0.003973369,0.014026648,0.1563521,0.145412008,0.505641808,0.17875764
07/01/2018 14:00,1.201224767,1.943019476,3.83419E-07,3.84237E-07,1.702541555,2.997114749,0.01036725,0.014609339,0.060372828,0.092903988,0.487753644,0.236343197
07/01/2018 15:00,1.398965497,1.064590056,3.82585E-07,3.83835E-07,1.79041536,2.427139954,0.002985772,0.017353051,0.081752531,0.159257338,0.490986072,0.23515887
07/01/2018 16:00,1.328926499,1.992199691,3.82983E-07,3.8384E-07,1.729687044,2.104760806,0.00991311,0.014595372,0.056570555,0.192202524,0.706063547,0.200056495
07/01/2018 17:00,1.316675844,1.53449643,3.824E-07,3.84199E-07,1.616943491,3.443742265,0.010549175,0.018149646,0.079393405,0.15577353,0.50406208,0.154358679
07/01/2018 18:00,1.637815848,0.92393602,3.84386E-07,3.83852E-07,1.448660863,2.622755782,0.005273463,0.024826287,0.157729798,0.111910828,0.483755152,0.172415499
07/01/2018 19:00,1.274974849,1.590071399,3.83524E-07,3.83861E-07,1.882082607,2.919742621,0.013925475,0.02254759,0.076863041,0.086047247,0.414299085,0.16450473
07/01/2018 20:00,1.456994808,0.788825726,3.82657E-07,3.8297E-07,1.715248995,2.572267186,0.00409714,0.017351601,0.058878155,0.050259072,0.388157566,0.184026071
07/01/2018 21:00,1.225801263,1.406227519,3.836E-07,3.84313E-07,1.732227073,3.116346566,0.004796868,0.019985891,0.155029016,0.052917437,0.398425471,0.159471108
